"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","JSONPlaceholder API Tests","0","GET Requests","1","0","Get Single Post - Negative","0"
"0","JSONPlaceholder API Tests","0","DELETE Requests","1","0","Delete Post - Headers","0"
"0","JSONPlaceholder API Tests","0","GET Requests","1","0","Get Post Comments","0"
"0","JSONPlaceholder API Tests","0","GET Requests","1","0","Schema Validation","0"
"0","JSONPlaceholder API Tests","0","DELETE Requests","1","0","Delete Post - Multiple IDs","0"
"0","JSONPlaceholder API Tests","0","POST Requests","1","0","Create Post","0"
"0","JSONPlaceholder API Tests","0","POST Requests","1","0","Create Post - Raw JSON","0"
"0","JSONPlaceholder API Tests","0","POST Requests","1","0","Create Post - Validation","0"
"0","JSONPlaceholder API Tests","0","PUT Requests","1","0","Update Post - Verify Response","0"
"0","JSONPlaceholder API Tests","0","POST Requests","1","0","Create Post - Headers","0"
"0","JSONPlaceholder API Tests","0","PUT Requests","1","0","Update Post - Headers","0"
"0","JSONPlaceholder API Tests","0","GET Requests","2","0","Get All Posts","0"
"0","JSONPlaceholder API Tests","0","PUT Requests","1","0","Update Post - Partial Update","0"
"0","JSONPlaceholder API Tests","0","GET Requests","1","0","Get Single Post","0"
"0","JSONPlaceholder API Tests","0","PUT Requests","1","0","Update Post - Full Update","0"
"0","JSONPlaceholder API Tests","0","DELETE Requests","1","0","Delete Post","0"
"0","JSONPlaceholder API Tests","0","GET Requests","1","0","Get Posts with Query Params","0"
"0","JSONPlaceholder API Tests","0","DELETE Requests","1","0","Delete Post - Response Body","0"
