"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validates that the response body for a DELETE request is an empty JSON object.","122","Verify DELETE /posts/{id} returns empty response body","JSONPlaceholder API Test Suite","Tue Mar 03 08:08:56 UTC 2026","passed","Tue Mar 03 08:08:56 UTC 2026","com.apitest.tests.DeletePostsTest","DELETE Tests","com.apitest.tests.DeletePostsTest","testDeletePost_ResponseBodyIsEmpty"
"Validates that the response headers from a POST include the expected Content-Type.","252","Verify POST /posts response headers contain Content-Type","JSONPlaceholder API Test Suite","Tue Mar 03 08:08:55 UTC 2026","passed","Tue Mar 03 08:08:55 UTC 2026","com.apitest.tests.PostPostsTest","POST Tests","com.apitest.tests.PostPostsTest","testCreatePost_ResponseHeaders"
"Verifies that the response body of a PUT request reflects the updated values.","284","Verify PUT /posts/{id} response body reflects changes","JSONPlaceholder API Test Suite","Tue Mar 03 08:08:55 UTC 2026","passed","Tue Mar 03 08:08:56 UTC 2026","com.apitest.tests.PutPostsTest","PUT Tests","com.apitest.tests.PutPostsTest","testUpdatePost_ResponseReflectsChanges"
"Validates the response body structure against the expected JSON schema.","1074","Validate JSON schema for GET /posts/{id}","JSONPlaceholder API Test Suite","Tue Mar 03 08:08:54 UTC 2026","passed","Tue Mar 03 08:08:55 UTC 2026","com.apitest.tests.GetPostsTest","GET Tests","com.apitest.tests.GetPostsTest","testGetPostById_ValidatesJsonSchema"
"Verifies that requesting a non-existent post returns HTTP 404.","2463","Verify GET /posts/{id} for non-existent ID returns 404","JSONPlaceholder API Test Suite","Tue Mar 03 08:08:51 UTC 2026","passed","Tue Mar 03 08:08:53 UTC 2026","com.apitest.tests.GetPostsTest","GET Tests","com.apitest.tests.GetPostsTest","testGetPostById_NonExistentId_Returns404"
"Validates that fetching comments for a post returns associated comment objects.","165","Verify GET /posts/{id}/comments returns associated comments","JSONPlaceholder API Test Suite","Tue Mar 03 08:08:55 UTC 2026","passed","Tue Mar 03 08:08:55 UTC 2026","com.apitest.tests.GetPostsTest","GET Tests","com.apitest.tests.GetPostsTest","testGetCommentsByPostId_ReturnsComments"
"Validates API behaviour when creating a post with only required fields.","275","Verify POST /posts with minimal payload returns 201","JSONPlaceholder API Test Suite","Tue Mar 03 08:08:55 UTC 2026","passed","Tue Mar 03 08:08:55 UTC 2026","com.apitest.tests.PostPostsTest","POST Tests","com.apitest.tests.PostPostsTest","testCreatePost_WithMinimalPayload_Returns201"
"Validates that filtering posts by userId query parameter returns correct subset.","1342","Verify GET /posts with userId filter returns filtered results","JSONPlaceholder API Test Suite","Tue Mar 03 08:08:54 UTC 2026","passed","Tue Mar 03 08:08:55 UTC 2026","com.apitest.tests.GetPostsTest","GET Tests","com.apitest.tests.GetPostsTest","testGetPostsByUserId_ReturnsFilteredPosts"
"Validates that retrieving all posts returns HTTP 200 and a non-empty array.","3916","Verify GET /posts returns 200 and non-empty list","JSONPlaceholder API Test Suite","Tue Mar 03 08:08:51 UTC 2026","passed","Tue Mar 03 08:08:55 UTC 2026","com.apitest.tests.GetPostsTest","GET Tests","com.apitest.tests.GetPostsTest","testGetAllPosts_Returns200AndNonEmptyList"
"Validates that fetching a specific post by ID returns the correct resource.","3922","Verify GET /posts/{id} returns correct post","JSONPlaceholder API Test Suite","Tue Mar 03 08:08:51 UTC 2026","passed","Tue Mar 03 08:08:55 UTC 2026","com.apitest.tests.GetPostsTest","GET Tests","com.apitest.tests.GetPostsTest","testGetPostById_ReturnsCorrectPost"
